Account,ChkRef,Debit,Credit,Date,Description
101124935,,,294.15,4/7/2026,XX8401 CREDIT 04/07 22:01 SQ  ID - 7v39Gxk San Francisco CA e15b0a1c 069411
101124935,,,3500.00,4/7/2026,Square Inc SQ260407 T3YPAA18G7FTWWV
101124935,,1751.95,,4/7/2026,Metro 101 RENT 262094023
101124935,,200.00,,4/7/2026,111162218 Transfer to CHECKING XXXXXX8098 on 4/07/26 at 17:03
101124935,,1709.26,,4/7/2026,Dawn Food Produc 5177894404 XXXXX4355
101124935,,,118.06,4/7/2026,"DoorDash, Inc. S Broadway ST-H0A0J1F3G3T9"
101124935,,72.00,,4/6/2026,CAPITAL ONE CRCARDPMT CA0F98CCE3F9AAB
101124935,,,196.10,4/6/2026,XX8401 CREDIT 04/04 19:11 SQ  ID - nE1PNls San Francisco CA e15b0a1c 676570
101124935,,,49.02,4/6/2026,XX8401 CREDIT 04/06 15:41 SQ  ID - EbeIrIU San Francisco CA e15b0a1c 917876
101124935,,,11.18,4/6/2026,"DOORDASH, INC. S BROADWAY ST-Z1K7M6Q4L1E7"
101124935,,30.00,,4/3/2026,"CHK# 00 AMT $600.00, NSF CHARGE"
101124935,,,392.20,4/3/2026,XX8401 CREDIT 04/02 23:47 SQ  ID - w CfWaI San Francisco CA e15b0a1c 795688
101124935,,600.00,,4/3/2026,118510980 Transfer to CHECKING XXXXXX8098 on 4/03/26 at 18:51
101124935,,,196.10,4/3/2026,XX8401 CREDIT 04/02 23:50 SQ  ID - ytpvwl  San Francisco CA e15b0a1c 810455
101124935,,,10.00,4/3/2026,117032553 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 4/03/26 at 7:03
101124935,,,17.07,4/3/2026,"DoorDash, Inc. S Broadway ST-C3M2A6K8L9D1"
101124935,512,153.72,,4/2/2026,Check #512
101124935,,30.00,,4/2/2026,"CHK# 00 AMT $155.75, NSF CHARGE"
101124935,,,196.10,4/2/2026,XX8401 CREDIT 04/02 19:47 SQ  ID - lXBlB3r San Francisco CA e15b0a1c 714964
101124935,,,70.19,4/2/2026,"DOORDASH, INC. S BROADWAY ST-F0U3I0T2E6W3"
101124935,,126.00,,4/2/2026,CAPITAL ONE CRCARDPMT CA0E9531D7C0C2C
101124935,,155.75,,4/2/2026,CAPITAL ONE MOBILE PMT CA03FDF1A5CE6F8
101124935,,,29.57,4/1/2026,"DoorDash, Inc. S Broadway ST-Y4Z5T6X9J2Q5"
101124935,,,1290.00,3/31/2026,Deposit
101124935,,,98.05,3/31/2026,XX8401 CREDIT 03/31 20:54 SQ  ID - hWsRFA6 San Francisco CA e15b0a1c 412384
101124935,,,60.00,3/31/2026,112825256 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 3/31/26 at 15:55
101124935,,,65.20,3/31/2026,"DoorDash, Inc. S Broadway ST-B7G8I6O4K8A2"
101124935,,,20.00,3/31/2026,Deposit
101124935,,,2500.00,3/30/2026,Square Inc SQ260330 T3KJY23H2KSECQ0
101124935,,147.00,,3/30/2026,OLLO CC MOBILE PAY 260860500441049
101124935,,30.00,,3/30/2026,"CHK# 00 AMT $2,322.91, NSF CHARGE"
101124935,,2322.91,,3/30/2026,Drake Management WEB PMTS 36SWJF
101124935,,,10.70,3/30/2026,"DoorDash, Inc. S Broadway ST-J0L8Y8M5G6X4"
101124935,,,500.00,3/30/2026,Deposit
101124935,,2.49,,3/30/2026,"AppFolio, Inc. F WEB PMTS ZT7QZ5"
101124935,511,1511.62,,3/30/2026,Check #511
101124935,,30.00,,3/27/2026,"CHK# 509 AMT $514.91, NSF CHARGE"
101124935,509,514.91,,3/27/2026,Check #509
101124935,,,11.30,3/27/2026,"DOORDASH, INC. S BROADWAY ST-V2Y9L7Z6O7L2"
