"Sales summary - Summary
All day (12:00 AM-11:59 PM CT)"," "
"Gross sales","$456,686.11"
"Returns","($27.14)"
"Discounts & comps","($943.84)"
"Net sales","$455,715.13"
"Deferred sales","$0.00"
"Taxes","$8,218.21"
"Tips","$11,136.96"
"Refunds by amount","($2.00)"
"Total sales","$475,068.30"
"Total payments collected","$475,068.30"
"Card","$377,648.90"
"Cash","$96,789.42"
"Cash App","$629.98"
"Fees","($13,724.14)"
"Square payment processing fees","($13,724.14)"
"Square fees","($13,724.14)"
"Net total","$461,344.16"
"Total number of sales","39,320"
"Sales transactions","39318"
"Item sales transactions","39314"
"Service charges transactions","0"
"Itemized returns transactions","4"
"Discounts transactions","92"
"Comps transactions","0"
"Gift card sales transactions","0"
"Taxes transactions","16121"
"Tips transactions","4153"
"Total sales transactions","39314"
"Total payments collected transactions","39320"

